series,series_name,frequency,year,month,date,value
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2013,4,2013-04,96758.05
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2013,5,2013-05,98211.83
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2013,6,2013-06,99654.17
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2013,7,2013-07,99122.38
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2013,8,2013-08,100033.21
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2013,9,2013-09,104932.87
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2013,10,2013-10,103697.47
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2013,11,2013-11,106910.54
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2013,12,2013-12,112293.52
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2014,1,2014-01,111240.01
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2014,2,2014-02,113254.99
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2014,3,2014-03,120676.09
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2014,4,2014-04,121342.12
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2014,5,2014-05,121941.17
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2014,6,2014-06,127045.59
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2014,7,2014-07,123329.87
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2014,8,2014-08,122730.82
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2014,9,2014-09,126319.93
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2014,10,2014-10,123711.08
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2014,11,2014-11,125589.91
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2014,12,2014-12,124019.32
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2015,1,2015-01,125966.22
